Line by line,Fiscal Year   ,Employer (Petitioner) Name,Tax ID,Industry (NAICS) Code,Petitioner City,Petitioner State,Petitioner Zip Code,Initial Approval,Initial Denial,Continuing Approval,Continuing Denial
166,2024,AMERICA FIRST CREDIT UNION,6202,52 - Finance and Insurance,OGDEN,UT,84405,0,0,2,0
167,2024,AMERICA FIRST CREDIT UNION,6202,52 - Finance and Insurance,RIVERDALE,UT,84405,1,0,1,0
168,2024,AMERICAN AGCREDIT,5866,52 - Finance and Insurance,SANTA ROSA,CA,95403,0,0,1,0
169,2024,AMERICAN BANCARD LLC D B A TOUCHSU,4741,52 - Finance and Insurance,BOCA RATON,FL,33487,0,0,1,0
170,2024,AMERICAN BANCARD LLC DBA TOUCHSUITE,4741,52 - Finance and Insurance,BOCA RATON,FL,33487,0,0,1,0
171,2024,AMERICAN BANKERS INSURANCE COMPANY,3886,52 - Finance and Insurance,ATLANTA,GA,30339,6,0,36,0
172,2024,AMERICAN BANKERS INSURANCE COMPANY OF FLORIDA ABIC DBA ASSURANT INC,3886,52 - Finance and Insurance,ATLANTA,GA,30339,0,0,3,1
173,2024,AMERICAN CENTURY INVESTMENT MGMT,487,52 - Finance and Insurance,KANSAS CITY,MO,64111,2,0,0,0
174,2024,AMERICAN CENTURY SERVICES LLC,9208,52 - Finance and Insurance,KANSAS CITY,MO,64111,0,0,3,0
175,2024,AMERICAN CREDIT ACCEPTANCE LLC,727,52 - Finance and Insurance,SPARTANBURG,SC,29302,15,0,10,1
176,2024,AMERICAN EAGLE FINANCIAL CREDIT UNION INC,9616,52 - Finance and Insurance,EAST HARTFORD,CT,6108,0,0,1,0
177,2024,AMERICAN EQUITY INVESTMENT LIFE INSURANCE COMPANY,3896,52 - Finance and Insurance,WEST DES MOINES,IA,50266,0,0,5,0
178,2024,AMERICAN EXPRESS COMPANY,2250,52 - Finance and Insurance,NEW YORK,NY,10285,41,1,37,0
179,2024,AMERICAN EXPRESS NATIONAL BANK,9526,52 - Finance and Insurance,NEW YORK,NY,10285,10,0,4,0
180,2024,AMERICAN EXPRESS TRAVEL RELATED SE,3497,52 - Finance and Insurance,NEW YORK,NY,10285,51,0,358,0
181,2024,AMERICAN EXPRESS TRAVEL RELATED SERVICES COMPANY INC,3497,52 - Finance and Insurance,NEW YORK,NY,10285,6,1,44,0
182,2024,AMERICAN FAMILY CONNECT PROPERTY AND CASUALTY INSURANCE,3498,52 - Finance and Insurance,DE PERE,WI,54115,0,0,1,0
183,2024,AMERICAN FAMILY LIFE ASSURANCE COM,3296,52 - Finance and Insurance,COLUMBUS,GA,31999,2,0,12,0
184,2024,AMERICAN FAMILY LIFE ASSURANCE COMPANY OF COLUMBUS AFLAC,3296,52 - Finance and Insurance,COLUMBUS,GA,31999,0,0,1,0
185,2024,AMERICAN FAMILY MUTUAL INSURANCE C,3710,52 - Finance and Insurance,MADISON,WI,53783,9,0,52,0
186,2024,AMERICAN FAMILY MUTUAL INSURANCE COMPANY SI,3710,52 - Finance and Insurance,MADISON,WI,53783,1,0,21,1
187,2024,AMERICAN FIDELITY ASSURANCE COMPAN,4500,52 - Finance and Insurance,OKLAHOMA CITY,OK,73114,0,0,3,0
188,2024,AMERICAN FIRST FINANCE LLC,1785,52 - Finance and Insurance,COPPELL,TX,75019,3,0,1,0
189,2024,AMERICAN GENERAL LIFE INSURANCE CO,8210,52 - Finance and Insurance,JERSEY CITY,NJ,7302,10,0,35,1
190,2024,AMERICAN GENERAL LIFE INSURANCE COMPANY,8210,52 - Finance and Insurance,JERSEY CITY,NJ,7302,0,0,8,1
191,2024,AMERICAN HOME SHIELD CORPORATION,6654,52 - Finance and Insurance,MEMPHIS,TN,38125,0,0,10,0
192,2024,AMERICAN INTEGRITY INSURANCE COMPA,9410,52 - Finance and Insurance,TAMPA,FL,33609,1,0,0,0
193,2024,AMERICAN METRO BANK,4140,52 - Finance and Insurance,CHICAGO,IL,60640,1,0,0,0
194,2024,AMERICAN NATIONAL GROUP SERVICES L,635,52 - Finance and Insurance,GALVESTON,TX,77550,3,0,3,0
195,2024,AMERICAN NATIONAL GROUP SERVICES L,635,52 - Finance and Insurance,GLENMONT,NY,12077,2,0,1,0
196,2024,AMERICAN NATIONAL INSURANCE COMPANY,4030,52 - Finance and Insurance,GALVESTON,TX,77550,1,0,3,0
197,2024,AMERICAN REGIONAL CENTER FOR ENTRE,3997,52 - Finance and Insurance,LONG ISLAND CITY,NY,11101,1,0,1,0
198,2024,AMERICAN SECURITIES LLC,6827,52 - Finance and Insurance,NEW YORK,NY,10022,0,0,3,0
199,2024,AMERICAN SERVICES GROUP LLC,6762,52 - Finance and Insurance,LILBURN,GA,30047,0,0,1,0
200,2024,AMERICAN SPECIALTY HEALTH INCORPOR,3241,52 - Finance and Insurance,CARMEL,IN,46032,4,0,12,0
201,2024,AMERIGROUP CORPORATION,9323,52 - Finance and Insurance,INDIANAPOLIS,IN,46204,0,0,1,0
202,2024,AMERIHEALTH CARITAS SERVICES LLC,5725,52 - Finance and Insurance,NEWTOWN SQ,PA,19073,0,0,1,0
203,2024,AMERIHEALTH CARITAS SERVICES LLC,5725,52 - Finance and Insurance,NEWTOWN SQUARE,PA,19073,1,0,11,0
204,2024,AMERIHOME MORTGAGE COMPANY LLC,9035,52 - Finance and Insurance,THOUSAND OAKS,CA,91362,1,0,2,0
205,2024,AMERINATIONAL COMMUNITY SERVICES LLC,1655,52 - Finance and Insurance,DOWNEY,CA,90240,0,0,1,0
206,2024,AMERIPRISE FINANCIAL INC,631,52 - Finance and Insurance,MINNEAPOLIS,MN,55474,11,0,43,0
207,2024,AMERISAVE MORTGAGE CORPORATION,1318,52 - Finance and Insurance,SANDY SPRINGS,GA,30342,0,0,1,0
208,2024,AMERITAS LIFE INSURANCE CORP,8400,52 - Finance and Insurance,LINCOLN,NE,68510,4,0,4,0
209,2024,AMHERST SERVICES CORPORATION,6884,52 - Finance and Insurance,AUSTIN,TX,78701,1,0,0,0
210,2024,AMHERST SERVICES CORPORATION,6884,52 - Finance and Insurance,AUSTIN,TX,78746,0,0,3,0
211,2024,AMICA MUTUAL INSURANCE COMPANY,8344,52 - Finance and Insurance,LINCOLN,RI,2865,5,0,9,0
212,2024,AMITI MANAGEMENT LP,660,52 - Finance and Insurance,BOSTON,MA,2116,1,0,0,0
213,2024,AMOUNT D B A AMOUNT SMALL BUSINESS F K A LINEAR FINANCIAL TECHNOLOGIES,9598,52 - Finance and Insurance,CHICAGO,IL,60601,0,0,1,0
214,2024,AMPERSAND MANAGEMENT LLC,5274,52 - Finance and Insurance,WELLESLEY HILLS,MA,2481,1,0,0,0
215,2024,AMS BUSINESS LLC,7444,52 - Finance and Insurance,RICHARDSON,TX,75081,0,0,1,0
216,2024,AMUNDI ASSET MANAGEMENT US INC,1193,52 - Finance and Insurance,BOSTON,MA,2109,0,0,2,1
217,2024,AMWEST FUNDING CORP,9084,52 - Finance and Insurance,BREA,CA,92821,1,0,0,0
218,2024,AMWINS GROUP INC,9411,52 - Finance and Insurance,CHARLOTTE,NC,28210,0,0,1,0
